,Model,Fuel Type,Engine Size,Transmission,Mileage,Doors,BHP,Year,MPG,Body Type,Colour,Previous Keepers,Ultra Low Emission Zone  ,Tax,Price,CO2,MOT Expires,Interior Trim,Euro Status,VAT Qualifying
431,3 Series,Diesel,2.0L,Automatic,"71,303 miles",5,188 bhp,2018 (18),65.7,Estate,ALPINE WHITE,1.0,Euro 6,£199,"£16,900",114 g/km,20-06-2022,,,
432,1 Series,Petrol,1.5L,Automatic,"26,426 miles",5,134 bhp,2016 (16),54.3,Hatchback,ALPINE WHITE,2.0,Euro 6,£199,"£16,850",122 g/km,13-08-2022,,,
433,1 Series,Petrol,1.5L,Manual,"17,382 miles",5,134 bhp,2018 (68),37.7,Hatchback,ALPINE WHITE,1.0,Euro 6,£199,"£16,850",137 g/km,,,,
434,2 Series,Diesel,2.0L,Automatic,"40,891 miles",2,148 bhp,2016 (66),62.8,Convertible,BLACK SAPPHIRE,2.0,Euro 6,£199,"£16,800",118 g/km,22-09-2022,BLACK DAKOTA LEATHER,,
435,2 Series,Diesel,2.0L,Automatic,"29,148 miles",2,188 bhp,2015 (15),60.1,Coupe,GLACIER SILVER,,Euro 6,£199,"£16,800",124 g/km,07-10-2022,CORAL RED DAKOTA LEATHER,,
436,3 Series,Diesel,2.0L,Manual,"44,680 miles",5,161 bhp,2018 (68),68.9,Estate,Mediterranean Blue,1.0,Euro 6,£199,"£16,800",107 g/km,,OYSTER DAKOTA LEATHER,,
437,3 Series,Diesel,2.0L,Manual,"51,291 miles",4,188 bhp,2017 (17),64.2,Saloon,WHITE,1.0,Euro 6,£199,"£16,800",116 g/km,01-03-2022,,,
438,1 Series,Petrol,1.5L,Manual,"23,709 miles",5,134 bhp,2019 (69),37.7,Hatchback,GREY,2.0,Euro 6,£199,"£16,750",137 g/km,,,,
439,2 Series,Diesel,2.0L,Automatic,"53,627 miles",2,188 bhp,2016 (16),68.9,Coupe,MELBOURNE RED,2.0,Euro 6,£199,"£16,750",107 g/km,25-10-2022,CORAL RED DAKOTA LEATHER,,
440,X1,Diesel,2.0L,Manual,"36,715 miles",5,148 bhp,2017 (17),68.9,Estate,SPARKLING BROWN,1.0,Euro 6,£199,"£16,700",109 g/km,03-08-2022,,,
441,1 Series,Diesel,2.0L,Automatic,"38,088 miles",5,188 bhp,2015 (65),62.8,Hatchback,BLACK,2.0,Euro 6,£199,"£16,700",119 g/km,23-09-2022,,,
442,3 Series,Diesel,2.0L,Manual,"63,181 miles",5,161 bhp,2017 (67),65.7,Estate,GREY,1.0,Euro 6,£199,"£16,700",114 g/km,21-09-2022,,,
443,X1,Diesel,2.0L,Manual,"72,613 miles",5,148 bhp,2017 (67),68.9,Estate,ALPINE WHITE,1.0,Euro 6,£199,"£16,700",109 g/km,04-10-2022,,,
444,4 Series,Diesel,2.0L,Automatic,"77,712 miles",2,188 bhp,2016 (66),60.1,Convertible,MIDNIGHT BLUE,,Euro 6,£199,"£16,700",124 g/km,14-07-2022,OYSTER DAKOTA LEATHER,,
445,X1,Diesel,2.0L,Manual,"65,535 miles",5,188 bhp,2016 (66),58.9,Estate,MINERAL GREY,2.0,Euro 6,£199,"£16,600",127 g/km,,,,
446,3 Series,Diesel,2.0L,Automatic,"38,646 miles",4,161 bhp,2017 (67),74.3,Saloon,BLACK,1.0,Euro 6,£199,"£16,600",99 g/km,11-09-2022,,,
447,3 Series,Diesel,2.0L,Manual,"48,639 miles",4,188 bhp,2017 (17),58.9,Saloon,WHITE,2.0,Euro 6,£199,"£16,600",126 g/km,02-03-2022,,,
448,1 Series,Diesel,2.0L,Automatic,"32,676 miles",5,147 bhp,2016 (16),67.3,Hatchback,ALPINE WHITE,,Euro 6,£199,"£16,600",110 g/km,10-11-2021,BLACK DAKOTA LEATHER,,
449,2 Series,Petrol,1.5L,Automatic,"62,310 miles",5,134 bhp,2016 (66),51.4,Estate,BLACK,1.0,Euro 6,£199,"£16,550",127 g/km,27-02-2022,,,
450,2 Series,Diesel,2.0L,Manual,"16,550 miles",2,188 bhp,2016 (66),64.2,Coupe,ESTORIL BLUE,2.0,Euro 6,£199,"£16,500",115 g/km,27-09-2022,,,
451,X3,Diesel,2.0L,Manual,"58,442 miles",5,188 bhp,2015 (65),52.3,Estate,BLACK,2.0,Euro 6,£199,"£16,500",143 g/km,22-03-2022,,,
452,3 Series,Diesel,3.0L,Automatic,"42,530 miles",4,255 bhp,2015 (65),56.5,Saloon,BLACK SAPPHIRE,2.0,Euro 6,£199,"£16,500",131 g/km,14-02-2022,BLACK DAKOTA LEATHER,,
453,2 Series,Petrol,1.5L,Manual,"44,961 miles",5,138 bhp,2018 (68),40.9,Estate,RED,1.0,Euro 6,£199,"£16,500",137 g/km,26-08-2022,,,
454,1 Series,Petrol,1.5L,Automatic,"36,655 miles",5,134 bhp,2018 (68),37.2,Hatchback,MINERAL GREY,1.0,Euro 6,£199,"£16,500",131 g/km,,,,
455,2 Series,Diesel,2.0L,Automatic,"32,990 miles",2,148 bhp,2016 (16),62.8,Convertible,MINERAL WHITE,,Euro 6,£199,"£16,500",118 g/km,09-10-2021,,,
456,2 Series,Petrol,2.0L,Automatic,"41,182 miles",2,181 bhp,2017 (17),47.9,Coupe,MELBOURNE RED,1.0,Euro 6,£199,"£16,500",135 g/km,20-07-2022,BLACK DAKOTA LEATHER,,
457,2 Series,Diesel,2.0L,Manual,"60,363 miles",5,148 bhp,2017 (17),62.8,Estate,WHITE,1.0,Euro 6,£199,"£16,500",119 g/km,27-07-2022,,,
458,2 Series,Petrol,1.5L,Manual,"56,625 miles",2,134 bhp,2018 (18),48.7,Convertible,WHITE,1.0,Euro 6,£199,"£16,500",136 g/km,02-09-2022,,,
459,4 Series,Diesel,3.0L,Automatic,"47,550 miles",2,255 bhp,2014 (64),53.3,Convertible,MIDNIGHT BLUE,2.0,Euro 6,£199,"£16,500",139 g/km,09-09-2022,,,
460,3 Series,Diesel,2.0L,Automatic,"55,306 miles",4,188 bhp,2016 (16),64.2,Saloon,ESTORIL BLUE,2.0,Euro 6,£199,"£16,500",116 g/km,,BLACK DAKOTA LEATHER,,
461,3 Series,Petrol,1.5L,Automatic,"30,671 miles",5,134 bhp,2015 (65),51.4,Estate,MINERAL GREY,1.0,Euro 6,£199,"£16,500",129 g/km,24-09-2022,,,
462,2 Series,Diesel,1.5L,Automatic,"45,212 miles",5,114 bhp,2016 (66),68.9,Hatchback,WHITE,2.0,Euro 6,£199,"£16,450",108 g/km,21-12-2021,,,
463,1 Series,Petrol,1.5L,Automatic,"29,437 miles",5,134 bhp,2018 (68),37.2,Hatchback,WHITE,1.0,Euro 6,£199,"£16,400",131 g/km,30-09-2022,,,
464,3 Series,Petrol,1.5L,Automatic,"23,360 miles",4,134 bhp,2016 (66),54.3,Saloon,BLUE,2.0,Euro 6,£199,"£16,400",122 g/km,04-12-2021,,,
465,X1,Diesel,2.0L,Manual,"85,475 miles",5,148 bhp,2017 (67),68.9,Estate,Mediterranean Blue,1.0,Euro 6,£199,"£16,400",109 g/km,17-11-2022,,,
466,2 Series,Diesel,2.0L,Automatic,"52,932 miles",5,148 bhp,2017 (67),65.7,Hatchback,BLACK,1.0,Euro 6,£199,"£16,400",114 g/km,20-10-2022,,,
467,2 Series,Petrol,1.5L,Manual,"56,112 miles",2,134 bhp,2018 (18),52.3,Coupe,WHITE,1.0,Euro 6,£199,"£16,400",130 g/km,30-07-2022,,,
468,1 Series,Diesel,2.0L,Manual,"32,105 miles",5,147 bhp,2017 (17),65.7,Hatchback,ALPINE WHITE,,Euro 6,£199,"£16,400",114 g/km,23-12-2021,,,
469,1 Series,Petrol,1.5L,Manual,"58,752 miles",5,134 bhp,2017 (67),52.3,Hatchback,ALPINE WHITE,1.0,Euro 6,£199,"£16,400",126 g/km,16-11-2021,,,
470,5 Series,Diesel,2.0L,Automatic,"53,511 miles",5,188 bhp,2015 (65),62.8,Estate,SPACE GREY,2.0,Euro 6,£199,"£16,400",118 g/km,31-08-2022,BLACK DAKOTA LEATHER,,
471,2 Series,Hybrid Petrol,1.5L,Automatic,"58,962 miles",5,,2017 (17),,Hatchback,BLUE,2.0,Euro 6,£199,"£16,400",46 g/km,30-03-2022,,,
472,1 Series,Diesel,1.5L,Manual,"46,647 miles",5,114 bhp,2017 (67),70.6,Hatchback,MINERAL GREY,,Euro 6,£199,"£16,400",106 g/km,23-11-2021,,,
473,3 Series,Petrol,1.5L,Automatic,"27,758 miles",4,134 bhp,2016 (16),54.3,Saloon,ALPINE WHITE,,Euro 6,£199,"£16,400",122 g/km,08-11-2022,,,
474,3 Series,Diesel,2.0L,Automatic,"45,081 miles",4,188 bhp,2016 (66),67.3,Saloon,BLACK SAPPHIRE,2.0,Euro 6,£199,"£16,400",111 g/km,31-10-2021,,,
475,3 Series,Diesel,2.0L,Manual,"31,447 miles",5,161 bhp,2016 (66),68.9,Estate,BLACK,1.0,Euro 6,£199,"£16,300",107 g/km,11-09-2022,,,
476,3 Series,Petrol,1.5L,Automatic,"40,490 miles",4,134 bhp,2018 (67),54.3,Saloon,GREY,1.0,Euro 6,£199,"£16,300",122 g/km,17-10-2022,,,
477,2 Series,Petrol,1.5L,Manual,"34,915 miles",2,134 bhp,2018 (18),52.3,Coupe,BLUE,1.0,Euro 6,£199,"£16,300",125 g/km,02-06-2022,,,
478,3 Series,Diesel,2.0L,Automatic,"62,058 miles",5,161 bhp,2017 (67),70.6,Estate,SILVER,1.0,Euro 6,£199,"£16,300",104 g/km,11-07-2022,,,
479,1 Series,Petrol,1.5L,Automatic,"46,541 miles",5,134 bhp,2018 (68),37.7,Hatchback,MINERAL WHITE,1.0,Euro 6,£199,"£16,300",128 g/km,30-10-2022,,,
480,4 Series,Diesel,2.0L,Manual,"57,654 miles",4,188 bhp,2016 (66),62.8,Coupe,GREY,1.0,Euro 6,£199,"£16,300",119 g/km,01-12-2021,,,
481,1 Series,Petrol,1.5L,Manual,"22,989 miles",5,134 bhp,2019 (19),37.7,Hatchback,GLACIER SILVER,1.0,Euro 6,£199,"£16,250",137 g/km,,,,
482,3 Series,Diesel,2.0L,Automatic,"75,416 miles",5,188 bhp,2017 (17),62.8,Estate,BLACK SAPPHIRE,1.0,Euro 6,£199,"£16,250",119 g/km,02-11-2021,BLACK DAKOTA LEATHER,,
483,1 Series,Diesel,2.0L,Automatic,"33,932 miles",5,147 bhp,2017 (67),74.3,Hatchback,BLACK,2.0,Euro 6,£199,"£16,200",99 g/km,29-10-2022,,,
484,2 Series,Petrol,1.5L,Manual,"37,972 miles",2,134 bhp,2017 (67),52.3,Coupe,ESTORIL BLUE,1.0,Euro 6,£199,"£16,200",130 g/km,,,,
485,2 Series,Diesel,2.0L,Manual,"34,017 miles",2,148 bhp,2016 (66),61.4,Convertible,BLACK,,Euro 6,£199,"£16,200",122 g/km,27-09-2022,,,
486,1 Series,Diesel,1.5L,Automatic,"31,242 miles",3,114 bhp,2018 (68),78.5,Hatchback,JET BLACK,2.0,Euro 6,£199,"£16,100",96 g/km,27-09-2022,,,
487,2 Series,Diesel,2.0L,Manual,"23,385 miles",2,148 bhp,2018 (18),65.7,Coupe,BLACK SAPPHIRE,1.0,Euro 6,£199,"£16,100",113 g/km,29-07-2022,,,
488,4 Series,Diesel,2.0L,Automatic,"52,364 miles",4,188 bhp,2016 (16),65.7,Coupe,BLUE,2.0,Euro 6,£199,"£16,000",114 g/km,06-01-2022,,,
489,3 Series,Diesel,2.0L,Manual,"61,808 miles",4,161 bhp,2018 (68),72.4,Saloon,ORANGE,1.0,Euro 6,£199,"£16,000",102 g/km,18-11-2022,,,
490,3 Series,Diesel,2.0L,Automatic,"44,345 miles",4,114 bhp,2016 (66),68.9,Saloon,SILVER,2.0,Euro 6,£199,"£16,000",109 g/km,15-03-2022,,,
491,X1,Diesel,2.0L,Manual,"62,883 miles",5,148 bhp,2017 (67),68.9,Estate,PLATINUM SILVER,1.0,Euro 6,£199,"£16,000",109 g/km,27-09-2022,,,
492,3 Series,Diesel,2.0L,Manual,"48,635 miles",4,188 bhp,2017 (67),58.9,Saloon,GREY,1.0,Euro 6,£199,"£16,000",126 g/km,31-08-2022,,,
493,3 Series,Diesel,2.0L,Automatic,"51,098 miles",4,161 bhp,2018 (18),70.6,Saloon,GREY,1.0,Euro 6,£199,"£16,000",104 g/km,,,,
494,2 Series,Petrol,1.5L,Manual,"30,452 miles",2,134 bhp,2016 (16),47.1,Convertible,BLUE,2.0,Euro 6,£199,"£16,000",139 g/km,05-06-2022,,,
495,4 Series,Petrol,2.0L,Manual,"39,831 miles",4,181 bhp,2016 (66),46.3,Coupe,ALPINE WHITE,2.0,Euro 6,£199,"£16,000",141 g/km,03-05-2022,BLACK DAKOTA LEATHER,,
496,2 Series,Diesel,2.0L,Manual,"15,997 miles",5,148 bhp,2017 (67),68.9,Hatchback,BLUE,,Euro 6,£199,"£16,000",109 g/km,25-05-2022,,,
497,4 Series,Diesel,2.0L,Automatic,"84,817 miles",2,188 bhp,2015 (65),60.1,Convertible,BLUE,2.0,Euro 6,£199,"£15,900",124 g/km,01-07-2022,,,
498,X1,Diesel,2.0L,Manual,"51,123 miles",5,148 bhp,2017 (67),68.9,Estate,BLACK,1.0,Euro 6,£199,"£15,900",109 g/km,27-07-2022,,,
499,3 Series,Diesel,2.0L,Manual,"37,994 miles",5,188 bhp,2017 (67),62.8,Estate,Mediterranean Blue,2.0,Euro 6,£199,"£15,900",118 g/km,28-09-2022,,,
500,2 Series,Diesel,1.5L,Manual,"30,186 miles",5,114 bhp,2017 (17),68.9,Estate,BROWN,,Euro 6,£199,"£15,900",108 g/km,08-11-2022,,,
501,X1,Diesel,2.0L,Manual,"52,895 miles",5,148 bhp,2017 (67),68.9,Estate,BLUE,1.0,Euro 6,£199,"£15,800",109 g/km,21-09-2022,,,
502,3 Series,Diesel,2.0L,Manual,"69,828 miles",4,188 bhp,2018 (68),64.2,Saloon,BLACK,1.0,Euro 6,£199,"£15,800",116 g/km,29-09-2022,,,
503,1 Series,Petrol,1.5L,Manual,"46,054 miles",3,134 bhp,2018 (67),52.3,Hatchback,ESTORIL BLUE,1.0,Euro 6,£199,"£15,800",126 g/km,11-02-2022,,,
504,2 Series,Petrol,1.5L,Manual,"36,729 miles",5,138 bhp,2018 (68),44.1,Hatchback,WHITE,1.0,Euro 6,£199,"£15,800",132 g/km,11-09-2022,,,
505,1 Series,Petrol,1.5L,Manual,"35,127 miles",5,134 bhp,2018 (68),37.7,Hatchback,MINERAL GREY,1.0,Euro 6,£199,"£15,800",137 g/km,,,,
506,1 Series,Diesel,1.5L,Automatic,"53,555 miles",5,114 bhp,2017 (17),68.9,Hatchback,ESTORIL BLUE,1.0,Euro 6,£199,"£15,750",107 g/km,14-10-2022,,,
507,1 Series,Diesel,2.0L,Manual,"28,858 miles",5,147 bhp,2018 (18),68.9,Hatchback,GREY,,Euro 6,£199,"£15,700",109 g/km,23-07-2022,,,
508,1 Series,Petrol,1.5L,Manual,"36,764 miles",5,134 bhp,2018 (68),38.2,Hatchback,SEASIDE BLUE,1.0,Euro 6,£199,"£15,700",134 g/km,30-10-2022,,,
509,4 Series,Diesel,2.0L,Automatic,"89,587 miles",4,188 bhp,2016 (66),65.7,Coupe,ESTORIL BLUE,1.0,Euro 6,£199,"£15,700",114 g/km,29-09-2022,,,
510,2 Series,Petrol,1.5L,Manual,"37,772 miles",2,134 bhp,2018 (68),52.3,Coupe,ALPINE WHITE,1.0,Euro 6,£199,"£15,700",125 g/km,27-09-2022,,,
511,1 Series,Diesel,2.0L,Manual,"19,139 miles",5,147 bhp,2018 (18),52.3,Hatchback,GREY,2.0,Euro 6,£199,"£15,600",115 g/km,08-09-2022,,,
512,1 Series,Diesel,2.0L,Manual,"65,669 miles",5,188 bhp,2017 (67),62.8,Hatchback,BLACK,1.0,Euro 6,£199,"£15,600",118 g/km,21-07-2022,,,
513,2 Series,Diesel,1.5L,Manual,"41,595 miles",5,114 bhp,2017 (17),74.3,Hatchback,BLACK,1.0,Euro 6,£199,"£15,600",99 g/km,24-03-2022,,,
514,2 Series,Diesel,2.0L,Automatic,"47,133 miles",5,188 bhp,2017 (17),65.7,Hatchback,GREY,,Euro 6,£199,"£15,600",113 g/km,12-01-2022,,,
515,2 Series,Diesel,2.0L,Manual,"44,527 miles",5,148 bhp,2017 (67),68.9,Hatchback,WHITE,2.0,Euro 6,£199,"£15,550",109 g/km,21-09-2022,,,
516,2 Series,Diesel,1.5L,Manual,"9,692 miles",5,114 bhp,2017 (67),74.3,Hatchback,RED,2.0,Euro 6,£199,"£15,500",99 g/km,26-09-2022,,,
517,1 Series,Petrol,1.5L,Manual,"22,449 miles",5,134 bhp,2018 (68),37.7,Hatchback,BLACK SAPPHIRE,1.0,Euro 6,£199,"£15,500",137 g/km,26-08-2022,,,
518,3 Series,Petrol,1.5L,Manual,"36,066 miles",4,134 bhp,2018 (18),52.3,Saloon,MINERAL GREY,,Euro 6,£199,"£15,500",124 g/km,06-12-2021,,,
519,3 Series,Diesel,2.0L,Automatic,"72,237 miles",5,188 bhp,2015 (15),57.7,Estate,ESTORIL BLUE,,Euro 6,£199,"£15,500",129 g/km,18-01-2022,,,
520,3 Series,Petrol,2.0L,Manual,"31,136 miles",4,181 bhp,2017 (67),48.7,Saloon,BLACK,2.0,Euro 6,£199,"£15,500",134 g/km,20-10-2022,,,
521,5 Series,Diesel,2.0L,Automatic,"43,531 miles",4,188 bhp,2015 (65),62.8,Saloon,BLUE,,Euro 6,£199,"£15,500",119 g/km,13-09-2022,,,
522,1 Series,Petrol,1.5L,Automatic,"48,760 miles",5,134 bhp,2018 (68),37.2,Hatchback,WHITE,1.0,Euro 6,£199,"£15,500",131 g/km,29-09-2022,,,
523,1 Series,Diesel,2.0L,Manual,"23,136 miles",3,147 bhp,2017 (67),65.7,Hatchback,BLACK SAPPHIRE,1.0,Euro 6,£199,"£15,500",114 g/km,16-11-2021,BLACK DAKOTA LEATHER,,
524,2 Series,Diesel,1.5L,Manual,"39,427 miles",5,114 bhp,2018 (18),74.3,Hatchback,BLACK,1.0,Euro 6,£199,"£15,450",99 g/km,20-10-2022,,,
525,1 Series,Diesel,1.5L,Manual,"26,869 miles",5,114 bhp,2018 (67),78.5,Hatchback,BLACK,1.0,Euro 6,£199,"£15,450",94 g/km,04-10-2022,,,
526,1 Series,Petrol,1.5L,Manual,"22,843 miles",5,134 bhp,2018 (18),56.5,Hatchback,GREY,1.0,Euro 6,£199,"£15,450",116 g/km,05-05-2022,,,
527,2 Series,Petrol,1.5L,Automatic,"72,374 miles",5,134 bhp,2017 (17),55.4,Hatchback,GREY,2.0,Euro 6,£199,"£15,400",119 g/km,01-03-2022,,,
528,3 Series,Diesel,2.0L,Manual,"56,138 miles",4,148 bhp,2017 (17),64.2,Saloon,WHITE,,Euro 6,£199,"£15,400",116 g/km,08-02-2022,,,
529,5 Series,Diesel,2.0L,Automatic,"73,867 miles",4,,2016 (65),,Saloon,White,,,£199,"£15,400",119 g/km,,,,
530,1 Series,Diesel,1.5L,Manual,"16,645 miles",5,114 bhp,2017 (67),72.4,Hatchback,MELBOURNE RED,1.0,Euro 6,£199,"£15,300",103 g/km,03-08-2022,,,
531,3 Series,Petrol,2.0L,Manual,"39,979 miles",4,181 bhp,2015 (65),47.9,Saloon,ALPINE WHITE,,Euro 6,£199,"£15,300",138 g/km,27-06-2022,,,
532,1 Series,Petrol,1.5L,Manual,"25,871 miles",5,134 bhp,2018 (18),38.2,Hatchback,BLACK SAPPHIRE,1.0,Euro 6,£199,"£15,300",134 g/km,21-08-2022,,,
533,2 Series,Petrol,1.5L,Manual,"21,390 miles",2,134 bhp,2017 (67),52.3,Coupe,BLUE,1.0,Euro 6,£199,"£15,300",125 g/km,15-10-2022,,,
534,1 Series,Diesel,1.5L,Automatic,"30,327 miles",5,114 bhp,2018 (67),78.5,Hatchback,MINERAL GREY,2.0,Euro 6,£199,"£15,250",96 g/km,30-01-2022,,,
535,1 Series,Petrol,1.5L,Manual,"39,180 miles",5,134 bhp,2018 (18),53.3,Hatchback,BLACK,2.0,Euro 6,£199,"£15,250",123 g/km,28-06-2022,,,
536,1 Series,Petrol,1.5L,Manual,"61,274 miles",5,134 bhp,2018 (18),52.3,Hatchback,ORANGE,1.0,Euro 6,£199,"£15,200",126 g/km,21-05-2022,,,
537,2 Series,Diesel,2.0L,Automatic,"63,149 miles",2,188 bhp,2015 (65),60.1,Coupe,BLACK,,Euro 6,£199,"£15,200",124 g/km,10-11-2021,,,
538,1 Series,Petrol,1.5L,Manual,"19,639 miles",5,134 bhp,2017 (67),53.3,Hatchback,GREY,2.0,Euro 6,£199,"£15,200",123 g/km,27-11-2021,,,
539,3 Series,Diesel,2.0L,Manual,"63,168 miles",4,188 bhp,2017 (17),62.8,Saloon,ALPINE WHITE,1.0,Euro 6,£199,"£15,150",119 g/km,29-12-2021,,,
540,2 Series,Diesel,2.0L,Manual,"34,255 miles",2,148 bhp,2015 (65),64.2,Coupe,WHITE,2.0,Euro 6,£199,"£15,100",116 g/km,26-11-2022,,,
541,3 Series,Petrol,2.0L,Manual,"47,455 miles",4,181 bhp,2017 (17),48.7,Saloon,Mediterranean Blue,,Euro 6,£199,"£15,100",134 g/km,13-04-2022,,,
542,3 Series,Diesel,2.0L,Manual,"71,334 miles",5,188 bhp,2017 (67),62.8,Estate,BLACK,1.0,Euro 6,£199,"£15,100",118 g/km,26-02-2022,,,
543,2 Series,Diesel,2.0L,Manual,"43,188 miles",5,148 bhp,2016 (16),64.2,Estate,BLACK,2.0,Euro 6,£199,"£15,000",115 g/km,09-08-2022,,,
544,2 Series,Petrol,1.5L,Manual,"40,484 miles",5,138 bhp,2018 (18),44.1,Hatchback,WHITE,1.0,Euro 6,£199,"£15,000",132 g/km,07-06-2022,,,
545,2 Series,Petrol,1.5L,Manual,"26,348 miles",5,138 bhp,2018 (18),44.1,Hatchback,WHITE,1.0,Euro 6,£199,"£15,000",132 g/km,15-06-2022,,,
546,1 Series,Diesel,2.0L,Manual,"21,691 miles",3,147 bhp,2018 (68),49.6,Hatchback,BLACK,2.0,Euro 6,£199,"£15,000",120 g/km,,,,
547,3 Series,Diesel,2.0L,Automatic,"83,191 miles",4,188 bhp,2018 (67),64.2,Saloon,BLUE,2.0,Euro 6,£199,"£15,000",116 g/km,08-09-2022,,,
548,1 Series,Diesel,2.0L,Manual,"58,522 miles",5,,2018 (68),,Hatchback,BLUE,1.0,,£199,"£15,000",124 g/km,11-10-2022,,,
549,3 Series,Diesel,2.0L,Manual,"38,106 miles",4,141 bhp,2015 (15),60.1,Saloon,ALPINE WHITE,2.0,Euro 6,£199,"£15,000",122 g/km,20-08-2022,BLACK DAKOTA LEATHER,,
550,2 Series,Diesel,2.0L,Manual,"22,642 miles",5,148 bhp,2018 (18),68.9,Hatchback,BLUE,1.0,Euro 6,£199,"£15,000",109 g/km,30-07-2022,,,
551,5 Series,Diesel,2.0L,Automatic,"59,120 miles",4,188 bhp,2015 (15),68.9,Saloon,MINERAL WHITE,2.0,Euro 6,£199,"£15,000",109 g/km,07-11-2022,BLACK DAKOTA LEATHER,,
552,3 Series,Diesel,2.0L,Automatic,"49,096 miles",4,188 bhp,2016 (65),67.3,Saloon,ALPINE WHITE,2.0,Euro 6,£199,"£15,000",111 g/km,28-02-2022,,,
553,3 Series,Petrol,2.0L,Manual,"38,289 miles",4,181 bhp,2015 (15),41.5,Saloon,GLACIER SILVER,2.0,Euro 6,£199,"£15,000",159 g/km,17-08-2022,BLACK DAKOTA LEATHER,,
554,2 Series,Petrol,1.5L,Manual,"31,303 miles",5,138 bhp,2019 (19),44.1,Hatchback,BLUE,2.0,Euro 6,£199,"£15,000",132 g/km,,,,
555,2 Series,Petrol,2.0L,Manual,"40,976 miles",2,181 bhp,2016 (16),44.1,Coupe,ALPINE WHITE,2.0,Euro 6,£199,"£15,000",149 g/km,03-08-2022,,,
556,2 Series,Petrol,1.5L,Automatic,"54,660 miles",2,134 bhp,2015 (15),51.4,Coupe,ESTORIL BLUE,2.0,Euro 6,£199,"£14,950",129 g/km,07-08-2022,,,
557,1 Series,Petrol,1.5L,Automatic,"20,212 miles",5,134 bhp,2016 (16),55.4,Hatchback,JET BLACK,,Euro 6,£199,"£14,800",119 g/km,17-03-2022,,,
558,1 Series,Diesel,1.5L,Manual,"10,505 miles",5,114 bhp,2017 (67),78.5,Hatchback,GREY,1.0,Euro 6,£199,"£14,800",94 g/km,12-12-2021,,,
559,5 Series,Diesel,2.0L,Automatic,"73,107 miles",4,188 bhp,2015 (15),62.8,Saloon,CARBON BLACK,,Euro 6,£199,"£14,800",119 g/km,22-12-2021,,,
560,5 Series,Diesel,2.0L,Automatic,"73,237 miles",4,188 bhp,2016 (16),68.9,Saloon,ALPINE WHITE,,Euro 6,£199,"£14,600",109 g/km,15-06-2022,OYSTER DAKOTA LEATHER,,
561,2 Series,Diesel,2.0L,Automatic,"40,384 miles",5,148 bhp,2015 (65),68.9,Hatchback,WHITE,2.0,Euro 6,£199,"£14,550",109 g/km,13-08-2022,,,
562,1 Series,Petrol,1.5L,Manual,"47,291 miles",5,134 bhp,2018 (18),38.2,Hatchback,ALPINE WHITE,1.0,Euro 6,£199,"£14,500",134 g/km,16-05-2022,,,
563,1 Series,Diesel,2.0L,Manual,"35,161 miles",3,147 bhp,2016 (66),65.7,Hatchback,GLACIER SILVER,,Euro 6,£199,"£14,500",114 g/km,05-08-2022,,,
564,2 Series,Diesel,1.5L,Manual,"59,310 miles",5,114 bhp,2017 (67),68.9,Estate,BLACK,1.0,Euro 6,£199,"£14,400",108 g/km,20-09-2022,,,
565,1 Series,Diesel,2.0L,Automatic,"69,567 miles",3,147 bhp,2016 (66),67.3,Hatchback,BLUE,,Euro 6,£199,"£14,350",110 g/km,30-04-2022,,,
566,3 Series,Diesel,2.0L,Automatic,"71,332 miles",4,161 bhp,2017 (17),74.3,Saloon,ALPINE WHITE,1.0,Euro 6,£199,"£14,350",99 g/km,22-11-2021,BLACK DAKOTA LEATHER,,
567,2 Series,Petrol,1.5L,Manual,"30,077 miles",2,134 bhp,2015 (65),50.4,Coupe,BLUE,,Euro 6,£199,"£14,300",130 g/km,13-07-2022,,,
568,1 Series,Diesel,2.0L,Automatic,"72,711 miles",5,147 bhp,2018 (18),74.3,Hatchback,SEASIDE BLUE,1.0,Euro 6,£199,"£14,300",99 g/km,15-02-2022,,,
569,2 Series,Petrol,1.5L,Manual,"44,966 miles",2,134 bhp,2015 (65),50.4,Coupe,ALPINE WHITE,1.0,Euro 6,£199,"£14,250",130 g/km,03-11-2021,BLACK DAKOTA LEATHER,,
570,3 Series,Diesel,2.0L,Manual,"35,808 miles",4,114 bhp,2017 (67),68.9,Saloon,BLUE,1.0,Euro 6,£199,"£14,250",109 g/km,02-10-2022,,,
571,1 Series,Diesel,2.0L,Manual,"52,127 miles",3,188 bhp,2017 (17),62.8,Hatchback,ORANGE,1.0,Euro 6,£199,"£14,200",118 g/km,02-08-2022,,,
572,1 Series,Diesel,1.5L,Manual,"50,106 miles",3,114 bhp,2017 (67),70.6,Hatchback,MINERAL GREY,1.0,Euro 6,£199,"£14,200",106 g/km,,,,
573,2 Series,Petrol,1.5L,Manual,"33,904 miles",2,134 bhp,2016 (16),52.3,Coupe,BLACK,2.0,Euro 6,£199,"£14,200",125 g/km,17-02-2022,,,
574,5 Series,Diesel,2.0L,Manual,"67,067 miles",4,188 bhp,2015 (65),60.1,Saloon,GREY,2.0,Euro 6,£199,"£14,100",124 g/km,,,,
575,1 Series,Diesel,1.5L,Manual,"36,287 miles",5,114 bhp,2018 (68),78.5,Hatchback,GLACIER SILVER,1.0,Euro 6,£199,"£14,100",94 g/km,29-09-2022,,,
